Molecule,Diamond_RDKit,Diamond_MacroModel,SPMC,MCMM,MCLMCS,LMCS
e1,3,3,2,2,2,2
e2,3,3,1,1,1,1
e3,3,3,2,2,2,2
e4,3,3,2,2,2,2
e5,3,3,2,2,2,2
e6,24,24,16,16,16,15
e7,19,19,12,12,12,12
e8,8,8,10,10,10,10
e9,40,40,19,26,19,19
e10,7,7,4,4,4,4
e11,8,8,5,5,5,5
e12,5,5,6,6,6,6
e13,7,7,4,4,4,3
e14,6,6,4,4,4,4
e15,24,24,17,17,17,17
e16,8,8,8,8,8,8
e17,36,36,19,19,19,19
e18,7,7,4,4,4,3
e19,16,16,9,9,9,9
e20,8,8,5,5,5,5
e21,8,8,5,5,5,5
e22,7,7,4,4,4,4
e23,44,44,24,24,24,24
e24,8,8,6,6,6,6
e25,6,6,3,3,3,3
e26,42,42,55,30,30,30
e27,18,18,10,10,10,10
e28,36,36,38,38,38,38
e29,7,7,5,5,5,5
e30,6,6,4,4,4,4
e31,6,6,4,4,4,4
e32,8,8,6,6,6,6
e33,136,136,20,30,30,30
e34,112,148,33,43,48,48
e35,220,120,37,75,119,123
e36,438,10,119,51,109,194
e37,72,134,28,45,56,56
